,train,val,test
patient_000_node_0,True,False,False
patient_000_node_1,True,False,False
patient_000_node_2,True,False,False
patient_000_node_3,True,False,False
patient_000_node_4,True,False,False
patient_001_node_0,True,False,False
patient_001_node_1,True,False,False
patient_001_node_2,True,False,False
patient_001_node_3,True,False,False
patient_001_node_4,True,False,False
patient_002_node_0,True,False,False
patient_002_node_1,True,False,False
patient_002_node_2,True,False,False
patient_002_node_3,True,False,False
patient_002_node_4,True,False,False
patient_003_node_0,True,False,False
patient_003_node_1,True,False,False
patient_003_node_2,True,False,False
patient_003_node_3,True,False,False
patient_003_node_4,True,False,False
patient_023_node_0,True,False,False
patient_023_node_1,True,False,False
patient_023_node_2,True,False,False
patient_023_node_3,True,False,False
patient_023_node_4,True,False,False
patient_025_node_0,True,False,False
patient_025_node_1,True,False,False
patient_025_node_2,True,False,False
patient_025_node_3,True,False,False
patient_025_node_4,True,False,False
patient_043_node_0,True,False,False
patient_043_node_1,True,False,False
patient_043_node_2,True,False,False
patient_043_node_3,True,False,False
patient_043_node_4,True,False,False
patient_053_node_0,True,False,False
patient_053_node_1,True,False,False
patient_053_node_2,True,False,False
patient_053_node_3,True,False,False
patient_053_node_4,True,False,False
patient_054_node_0,True,False,False
patient_054_node_1,True,False,False
patient_054_node_2,True,False,False
patient_054_node_3,True,False,False
patient_054_node_4,True,False,False
patient_055_node_0,True,False,False
patient_055_node_1,True,False,False
patient_055_node_2,True,False,False
patient_055_node_3,True,False,False
patient_055_node_4,True,False,False
patient_057_node_0,True,False,False
patient_057_node_1,True,False,False
patient_057_node_2,True,False,False
patient_057_node_3,True,False,False
patient_057_node_4,True,False,False
patient_058_node_0,True,False,False
patient_058_node_1,True,False,False
patient_058_node_2,True,False,False
patient_058_node_3,True,False,False
patient_058_node_4,True,False,False
patient_059_node_0,True,False,False
patient_059_node_1,True,False,False
patient_059_node_2,True,False,False
patient_059_node_3,True,False,False
patient_059_node_4,True,False,False
patient_071_node_0,True,False,False
patient_071_node_1,True,False,False
patient_071_node_2,True,False,False
patient_071_node_3,True,False,False
patient_071_node_4,True,False,False
patient_078_node_0,True,False,False
patient_078_node_1,True,False,False
patient_078_node_2,True,False,False
patient_078_node_3,True,False,False
patient_078_node_4,True,False,False
patient_004_node_0,True,False,False
patient_004_node_1,True,False,False
patient_004_node_2,True,False,False
patient_004_node_3,True,False,False
patient_004_node_4,True,False,False
patient_006_node_0,True,False,False
patient_006_node_1,True,False,False
patient_006_node_2,True,False,False
patient_006_node_3,True,False,False
patient_006_node_4,True,False,False
patient_007_node_0,True,False,False
patient_007_node_1,True,False,False
patient_007_node_2,True,False,False
patient_007_node_3,True,False,False
patient_007_node_4,True,False,False
patient_008_node_0,True,False,False
patient_008_node_1,True,False,False
patient_008_node_2,True,False,False
patient_008_node_3,True,False,False
patient_008_node_4,True,False,False
patient_009_node_0,True,False,False
patient_009_node_1,True,False,False
patient_009_node_2,True,False,False
patient_009_node_3,True,False,False
patient_009_node_4,True,False,False
patient_010_node_0,True,False,False
patient_010_node_1,True,False,False
patient_010_node_2,True,False,False
patient_010_node_3,True,False,False
patient_010_node_4,True,False,False
patient_011_node_0,True,False,False
patient_011_node_1,True,False,False
patient_011_node_2,True,False,False
patient_011_node_3,True,False,False
patient_011_node_4,True,False,False
patient_012_node_0,True,False,False
patient_012_node_1,True,False,False
patient_012_node_2,True,False,False
patient_012_node_3,True,False,False
patient_012_node_4,True,False,False
patient_013_node_0,True,False,False
patient_013_node_1,True,False,False
patient_013_node_2,True,False,False
patient_013_node_3,True,False,False
patient_013_node_4,True,False,False
patient_014_node_0,True,False,False
patient_014_node_1,True,False,False
patient_014_node_2,True,False,False
patient_014_node_3,True,False,False
patient_014_node_4,True,False,False
patient_015_node_0,True,False,False
patient_015_node_1,True,False,False
patient_015_node_2,True,False,False
patient_015_node_3,True,False,False
patient_015_node_4,True,False,False
patient_017_node_0,True,False,False
patient_017_node_1,True,False,False
patient_017_node_2,True,False,False
patient_017_node_3,True,False,False
patient_017_node_4,True,False,False
patient_018_node_0,True,False,False
patient_018_node_1,True,False,False
patient_018_node_2,True,False,False
patient_018_node_3,True,False,False
patient_018_node_4,True,False,False
patient_020_node_0,True,False,False
patient_020_node_1,True,False,False
patient_020_node_2,True,False,False
patient_020_node_3,True,False,False
patient_020_node_4,True,False,False
patient_021_node_0,True,False,False
patient_021_node_1,True,False,False
patient_021_node_2,True,False,False
patient_021_node_3,True,False,False
patient_021_node_4,True,False,False
patient_024_node_0,True,False,False
patient_024_node_1,True,False,False
patient_024_node_2,True,False,False
patient_024_node_3,True,False,False
patient_024_node_4,True,False,False
patient_027_node_0,True,False,False
patient_027_node_1,True,False,False
patient_027_node_2,True,False,False
patient_027_node_3,True,False,False
patient_027_node_4,True,False,False
patient_028_node_0,True,False,False
patient_028_node_1,True,False,False
patient_028_node_2,True,False,False
patient_028_node_3,True,False,False
patient_028_node_4,True,False,False
patient_030_node_0,True,False,False
patient_030_node_1,True,False,False
patient_030_node_2,True,False,False
patient_030_node_3,True,False,False
patient_030_node_4,True,False,False
patient_032_node_0,True,False,False
patient_032_node_1,True,False,False
patient_032_node_2,True,False,False
patient_032_node_3,True,False,False
patient_032_node_4,True,False,False
patient_033_node_0,True,False,False
patient_033_node_1,True,False,False
patient_033_node_2,True,False,False
patient_033_node_3,True,False,False
patient_033_node_4,True,False,False
