,train,val,test
0,patient_000_node_0,patient_090_node_1,patient_035_node_1
1,patient_000_node_4,patient_090_node_0,patient_035_node_2
2,patient_000_node_3,patient_090_node_4,patient_035_node_4
3,patient_000_node_1,patient_090_node_3,patient_035_node_3
4,patient_000_node_2,patient_090_node_2,patient_035_node_0
5,patient_001_node_1,patient_056_node_0,patient_031_node_2
6,patient_001_node_0,patient_056_node_3,patient_031_node_4
7,patient_001_node_3,patient_056_node_4,patient_031_node_0
8,patient_001_node_2,patient_056_node_1,patient_031_node_3
9,patient_001_node_4,patient_056_node_2,patient_031_node_1
10,patient_002_node_4,patient_092_node_3,patient_013_node_4
11,patient_002_node_2,patient_092_node_2,patient_013_node_1
12,patient_002_node_1,patient_092_node_4,patient_013_node_2
13,patient_002_node_3,patient_092_node_1,patient_013_node_3
14,patient_002_node_0,patient_092_node_0,patient_013_node_0
15,patient_003_node_0,patient_040_node_4,patient_042_node_0
16,patient_003_node_2,patient_040_node_3,patient_042_node_1
17,patient_003_node_1,patient_040_node_2,patient_042_node_3
18,patient_003_node_3,patient_040_node_0,patient_042_node_4
19,patient_003_node_4,patient_040_node_1,patient_042_node_2
20,patient_023_node_1,patient_021_node_2,patient_073_node_0
21,patient_023_node_0,patient_021_node_1,patient_073_node_4
22,patient_023_node_3,patient_021_node_3,patient_073_node_2
23,patient_023_node_4,patient_021_node_4,patient_073_node_1
24,patient_023_node_2,patient_021_node_0,patient_073_node_3
25,patient_025_node_1,patient_004_node_4,patient_038_node_0
26,patient_025_node_3,patient_004_node_1,patient_038_node_3
27,patient_025_node_2,patient_004_node_2,patient_038_node_1
28,patient_025_node_0,patient_004_node_3,patient_038_node_2
29,patient_025_node_4,patient_004_node_0,patient_038_node_4
30,patient_043_node_3,patient_075_node_3,patient_019_node_1
31,patient_043_node_2,patient_075_node_1,patient_019_node_4
32,patient_043_node_0,patient_075_node_2,patient_019_node_3
33,patient_043_node_1,patient_075_node_4,patient_019_node_2
34,patient_043_node_4,patient_075_node_0,patient_019_node_0
35,patient_053_node_1,patient_011_node_1,patient_070_node_1
36,patient_053_node_3,patient_011_node_2,patient_070_node_4
37,patient_053_node_2,patient_011_node_3,patient_070_node_3
38,patient_053_node_4,patient_011_node_0,patient_070_node_0
39,patient_053_node_0,patient_011_node_4,patient_070_node_2
40,patient_054_node_4,patient_063_node_0,patient_012_node_3
41,patient_054_node_1,patient_063_node_2,patient_012_node_2
42,patient_054_node_0,patient_063_node_1,patient_012_node_1
43,patient_054_node_3,patient_063_node_4,patient_012_node_4
44,patient_054_node_2,patient_063_node_3,patient_012_node_0
45,patient_055_node_0,patient_065_node_0,patient_067_node_1
46,patient_055_node_3,patient_065_node_3,patient_067_node_0
47,patient_055_node_1,patient_065_node_4,patient_067_node_4
48,patient_055_node_4,patient_065_node_2,patient_067_node_2
49,patient_055_node_2,patient_065_node_1,patient_067_node_3
50,patient_057_node_0,,
51,patient_057_node_4,,
52,patient_057_node_3,,
53,patient_057_node_2,,
54,patient_057_node_1,,
55,patient_058_node_1,,
56,patient_058_node_4,,
57,patient_058_node_2,,
58,patient_058_node_3,,
59,patient_058_node_0,,
60,patient_059_node_1,,
61,patient_059_node_4,,
62,patient_059_node_3,,
63,patient_059_node_0,,
64,patient_059_node_2,,
65,patient_071_node_3,,
66,patient_071_node_4,,
67,patient_071_node_1,,
68,patient_071_node_2,,
69,patient_071_node_0,,
70,patient_078_node_2,,
71,patient_078_node_4,,
72,patient_078_node_3,,
73,patient_078_node_1,,
74,patient_078_node_0,,
75,tumor_054,,
76,tumor_071,,
77,normal_125,,
78,normal_145,,
79,normal_056,,
80,tumor_021,,
81,normal_109,,
82,normal_160,,
83,normal_062,,
84,normal_118,,
85,tumor_068,,
86,normal_108,,
87,normal_066,,
88,normal_103,,
89,normal_142,,
90,normal_046,,
91,tumor_007,,
92,tumor_008,,
93,tumor_103,,
94,tumor_033,,
95,normal_054,,
96,normal_007,,
97,normal_147,,
98,normal_032,,
99,normal_017,,
100,normal_123,,
101,tumor_066,,
102,normal_154,,
103,normal_004,,
104,normal_098,,
105,normal_012,,
106,normal_071,,
107,tumor_055,,
108,normal_157,,
109,normal_006,,
110,tumor_061,,
111,normal_039,,
112,normal_150,,
113,tumor_069,,
114,normal_131,,
115,tumor_057,,
116,normal_119,,
117,tumor_009,,
118,tumor_043,,
119,normal_065,,
120,tumor_107,,
121,normal_101,,
122,normal_079,,
123,tumor_081,,
124,tumor_034,,
125,normal_031,,
126,tumor_082,,
127,normal_001,,
128,normal_072,,
129,tumor_032,,
130,tumor_046,,
131,normal_024,,
132,tumor_080,,
133,normal_041,,
134,normal_027,,
135,tumor_051,,
136,normal_146,,
137,normal_095,,
138,tumor_056,,
139,tumor_048,,
140,normal_075,,
141,normal_087,,
142,normal_051,,
143,tumor_042,,
144,normal_055,,
145,tumor_111,,
146,normal_083,,
147,normal_113,,
148,tumor_050,,
149,normal_045,,
150,normal_097,,
151,tumor_037,,
152,tumor_092,,
153,normal_009,,
154,tumor_110,,
155,tumor_090,,
156,tumor_039,,
157,tumor_065,,
158,normal_059,,
159,normal_155,,
160,tumor_106,,
161,tumor_109,,
162,tumor_029,,
163,normal_092,,
164,tumor_100,,
165,normal_082,,
166,normal_005,,
