,train,val,test
0,patient_004_node_4,patient_009_node_0,patient_068_node_1
1,patient_005_node_3,patient_009_node_1,patient_068_node_4
2,patient_005_node_4,patient_040_node_2,patient_037_node_1
3,patient_006_node_2,patient_015_node_1,patient_095_node_0
4,patient_006_node_4,patient_015_node_2,patient_013_node_2
5,patient_016_node_0,patient_015_node_4,patient_013_node_3
6,patient_016_node_1,patient_045_node_0,patient_013_node_4
7,patient_024_node_1,patient_045_node_1,patient_069_node_0
8,patient_024_node_2,patient_045_node_3,patient_069_node_1
9,patient_024_node_4,patient_045_node_4,patient_069_node_2
10,patient_041_node_0,patient_034_node_3,patient_069_node_3
11,patient_060_node_0,patient_092_node_0,patient_063_node_0
12,patient_060_node_3,patient_092_node_1,patient_063_node_2
13,patient_064_node_0,patient_092_node_3,patient_063_node_3
14,patient_064_node_3,patient_092_node_4,patient_063_node_4
15,patient_067_node_3,patient_010_node_0,patient_033_node_1
16,patient_067_node_4,patient_010_node_4,patient_033_node_2
17,patient_080_node_0,patient_022_node_0,patient_033_node_3
18,patient_080_node_1,patient_022_node_1,patient_018_node_1
19,patient_080_node_2,patient_022_node_4,patient_018_node_2
20,patient_080_node_3,,patient_018_node_3
21,patient_080_node_4,,patient_018_node_4
22,patient_012_node_0,,
23,patient_014_node_2,,
24,patient_014_node_3,,
25,patient_014_node_4,,
26,patient_017_node_1,,
27,patient_017_node_2,,
28,patient_017_node_3,,
29,patient_017_node_4,,
30,patient_019_node_0,,
31,patient_019_node_1,,
32,patient_019_node_2,,
33,patient_019_node_3,,
34,patient_021_node_0,,
35,patient_021_node_1,,
36,patient_021_node_3,,
37,patient_021_node_4,,
38,patient_026_node_0,,
39,patient_026_node_1,,
40,patient_026_node_2,,
41,patient_026_node_3,,
42,patient_026_node_4,,
43,patient_029_node_0,,
44,patient_029_node_1,,
45,patient_029_node_2,,
46,patient_029_node_3,,
47,patient_039_node_0,,
48,patient_039_node_1,,
49,patient_042_node_3,,
50,patient_044_node_3,,
51,patient_044_node_4,,
52,patient_047_node_2,,
53,patient_051_node_0,,
54,patient_051_node_1,,
55,patient_051_node_2,,
56,patient_051_node_4,,
57,patient_052_node_0,,
58,patient_052_node_1,,
59,patient_052_node_2,,
60,patient_052_node_3,,
61,patient_062_node_0,,
62,patient_062_node_1,,
63,patient_062_node_2,,
64,patient_062_node_3,,
65,patient_065_node_0,,
66,patient_065_node_4,,
67,patient_066_node_2,,
68,patient_066_node_3,,
69,patient_070_node_3,,
70,patient_072_node_0,,
71,patient_072_node_1,,
72,patient_072_node_2,,
73,patient_072_node_4,,
74,patient_073_node_1,,
75,patient_073_node_3,,
76,patient_075_node_4,,
77,patient_077_node_2,,
78,patient_077_node_4,,
79,patient_007_node_4,,
80,patient_008_node_0,,
81,patient_011_node_0,,
82,patient_020_node_1,,
83,patient_020_node_2,,
84,patient_020_node_4,,
85,patient_027_node_0,,
86,patient_027_node_2,,
87,patient_027_node_4,,
88,patient_028_node_0,,
89,patient_028_node_1,,
90,patient_028_node_2,,
91,patient_028_node_3,,
92,patient_030_node_4,,
93,patient_032_node_1,,
94,patient_036_node_3,,
95,patient_038_node_0,,
96,patient_038_node_2,,
97,patient_038_node_4,,
98,patient_046_node_3,,
99,patient_046_node_4,,
100,patient_048_node_0,,
101,patient_048_node_1,,
102,patient_049_node_1,,
103,patient_049_node_2,,
104,patient_050_node_4,,
105,patient_061_node_4,,
